Title,Year,Rated,Released,Runtime,Genre,Director,Writer,Actors,Plot,Language,Country,Awards,Poster,Ratings,Metascore,imdbRating,imdbVotes,imdbID,Type,DVD,BoxOffice,Production,Website,Response
Toy Story,1995,G,1995-11-22,81,"Animation, Adventure, Comedy",John Lasseter,"John Lasseter (original story by), Pete Docter (original story by), Andrew Stanton (original story by), Joe Ranft (original story by), Joss Whedon (screenplay by), Andrew Stanton (screenplay by), Joel Cohen (screenplay by), Alec Sokolow (screenplay by)","Tom Hanks, Tim Allen, Don Rickles, Jim Varney",A cowboy doll is profoundly threatened and jealous when a new spaceman figure supplants him as top toy in a boy's room.,English,USA,Nominated for 3 Oscars. Another 23 wins & 17 nominations.,https://m.media-amazon.com/images/M/MV5BMDU2ZWJlMjktMTRhMy00ZTA5LWEzNDgtYmNmZTEwZTViZWJkXkEyXkFqcGdeQXVyNDQ2OTk4MzI@._V1_SX300.jpg,"{'Source': 'Internet Movie Database', 'Value': '8.3/10'}",95,8.3,"752,674",tt0114709,movie,20 Mar 2001,N/A,Buena Vista,http://www.disney.com/ToyStory,True
Jumanji,1995,PG,1995-12-15,104,"Adventure, Family, Fantasy",Joe Johnston,"Jonathan Hensleigh (screenplay), Greg Taylor (screenplay), Jim Strain (screenplay), Greg Taylor (screen story), Jim Strain (screen story), Chris Van Allsburg (screen story), Chris Van Allsburg (book)","Robin Williams, Jonathan Hyde, Kirsten Dunst, Bradley Pierce","When two kids find and play a magical board game, they release a man trapped for decades in it and a host of dangers that can only be stopped by finishing the game.","English, French",USA,4 wins & 9 nominations.,https://m.media-amazon.com/images/M/MV5BZTk2ZmUwYmEtNTcwZS00YmMyLWFkYjMtNTRmZDA3YWExMjc2XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,"{'Source': 'Internet Movie Database', 'Value': '6.9/10'}",39,6.9,"256,931",tt0113497,movie,25 Jan 2000,N/A,Sony Pictures Home Entertainment,N/A,True
Grumpier Old Men,1995,PG-13,1995-12-22,101,"Comedy, Romance",Howard Deutch,"Mark Steven Johnson (characters), Mark Steven Johnson","Walter Matthau, Jack Lemmon, Sophia Loren, Ann-Margret","John and Max resolve to save their beloved bait shop from turning into an Italian restaurant, just as its new female owner catches Max's attention.","English, Italian, German",USA,2 wins & 2 nominations.,https://m.media-amazon.com/images/M/MV5BMjQxM2YyNjMtZjUxYy00OGYyLTg0MmQtNGE2YzNjYmUyZTY1XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,"{'Source': 'Internet Movie Database', 'Value': '6.6/10'}",46,6.6,"21,712",tt0113228,movie,18 Nov 1997,N/A,Warner Home Video,N/A,True
Waiting to Exhale,1995,R,1995-12-22,124,"Comedy, Drama, Romance",Forest Whitaker,"Terry McMillan (novel), Terry McMillan (screenplay), Ronald Bass (screenplay)","Whitney Houston, Angela Bassett, Loretta Devine, Lela Rochon","Based on Terry McMillan's novel, this film follows four very different African-American women and their relationships with the male gender.",English,USA,8 wins & 9 nominations.,https://m.media-amazon.com/images/M/MV5BYzcyMDY2YWQtYWJhYy00OGQ2LTk4NzktYWJkNDYwZWJmY2RjXkEyXkFqcGdeQXVyMTA0MjU0Ng@@._V1_SX300.jpg,"{'Source': 'Internet Movie Database', 'Value': '5.8/10'}",N/A,5.8,"8,407",tt0114885,movie,06 Mar 2001,N/A,Twentieth Century Fox Home Entertainment,N/A,True
Father of the Bride Part II,1995,PG,1995-12-08,106,"Comedy, Family, Romance",Charles Shyer,"Albert Hackett (screenplay ""Father's Little Dividend""), Frances Goodrich (screenplay ""Father's Little Dividend""), Nancy Meyers (screenplay), Charles Shyer (screenplay)","Steve Martin, Diane Keaton, Martin Short, Kimberly Williams-Paisley","George Banks must deal not only with the pregnancy of his daughter, but also with the unexpected pregnancy of his wife.",English,USA,Nominated for 1 Golden Globe. Another 1 win & 1 nomination.,https://m.media-amazon.com/images/M/MV5BOTEyNzg5NjYtNDU4OS00MWYxLWJhMTItYWU4NTkyNDBmM2Y0XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,"{'Source': 'Internet Movie Database', 'Value': '6.0/10'}",49,6.0,"30,212",tt0113041,movie,09 May 2000,N/A,Disney,N/A,True
Heat,1995,R,1995-12-15,170,"Crime, Drama, Thriller",Michael Mann,Michael Mann,"Al Pacino, Robert De Niro, Val Kilmer, Jon Voight",A group of professional bank robbers start to feel the heat from police when they unknowingly leave a clue at their latest heist.,"English, Spanish",USA,12 nominations.,https://m.media-amazon.com/images/M/MV5BNDc0YTQ5NGEtM2NkYS00MWRhLThiNzAtNmY3NWU3YzNkMjIyXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_SX300.jpg,"{'Source': 'Internet Movie Database', 'Value': '8.2/10'}",76,8.2,"504,308",tt0113277,movie,27 Jul 1999,N/A,Warner Bros.,N/A,True
Sabrina,1995,PG,1995-12-15,127,"Comedy, Drama",Sydney Pollack,"Samuel A. Taylor (play), Billy Wilder (earlier screenplay), Samuel A. Taylor (earlier screenplay), Ernest Lehman (earlier screenplay), Barbara Benedek (screenplay), David Rayfiel (screenplay)","Harrison Ford, Julia Ormond, Greg Kinnear, Nancy Marchand","An ugly duckling having undergone a remarkable change, still harbors feelings for her crush: a carefree playboy, but not before his business-focused brother has something to say about it.","English, French","Germany, USA",Nominated for 2 Oscars. Another 2 wins & 4 nominations.,https://m.media-amazon.com/images/M/MV5BYjQ5ZjQ0YzQtOGY3My00MWVhLTgzNWItOTYwMTE5N2ZiMDUyXkEyXkFqcGdeQXVyNjUwMzI2NzU@._V1_SX300.jpg,"{'Source': 'Internet Movie Database', 'Value': '6.3/10'}",56,6.3,"32,865",tt0114319,movie,15 Jan 2002,N/A,Paramount,N/A,True
Tom and Huck,1995,PG,1995-12-22,97,"Adventure, Comedy, Drama",Peter Hewitt,"Mark Twain (novel), Stephen Sommers (screenplay), David Loughery (screenplay)","Jonathan Taylor Thomas, Brad Renfro, Eric Schweig, Charles Rocket",Two best friends witness a murder and embark on a series of adventures in order to prove the innocence of the man wrongly accused of the crime.,English,USA,1 win & 5 nominations.,https://m.media-amazon.com/images/M/MV5BN2ZkZTMxOTAtMzg1Mi00M2U0LWE2NWItZDg4YmQyZjVkMDdhXkEyXkFqcGdeQXVyNTM5NzI0NDY@._V1_SX300.jpg,"{'Source': 'Internet Movie Database', 'Value': '5.6/10'}",N/A,5.6,"8,645",tt0112302,movie,06 May 2003,N/A,Buena Vista,N/A,True
Sudden Death,1995,R,1995-12-22,111,"Action, Crime, Thriller",Peter Hyams,"Karen Elise Baldwin (story), Gene Quintano (screenplay)","Jean-Claude Van Damme, Powers Boothe, Raymond J. Barry, Whittni Wright",A former fireman takes on a group of terrorists holding the Vice President and others hostage during the seventh game of the NHL Stanley Cup finals.,English,USA,N/A,https://m.media-amazon.com/images/M/MV5BN2NjYWE5NjMtODlmZC00MjJhLWFkZTktYTJlZTI4YjVkMGNmXkEyXkFqcGdeQXVyNDc2NjEyMw@@._V1_SX300.jpg,"{'Source': 'Internet Movie Database', 'Value': '5.7/10'}",N/A,5.7,"28,634",tt0114576,movie,01 Nov 1998,N/A,MCA Universal Home Video,N/A,True
GoldenEye,1995,PG-13,1995-11-17,130,"Action, Adventure, Thriller",Martin Campbell,"Ian Fleming (characters), Michael France (story), Jeffrey Caine (screenplay), Bruce Feirstein (screenplay)","Pierce Brosnan, Sean Bean, Izabella Scorupco, Famke Janssen",James Bond teams up with the lone survivor of a destroyed Russian research center to stop the hijacking of a nuclear space weapon by a fellow Agent formerly believed to be dead.,"English, Russian, Spanish","UK, USA",Nominated for 2 BAFTA Film Awards. Another 2 wins & 6 nominations.,https://m.media-amazon.com/images/M/MV5BMzk2OTg4MTk1NF5BMl5BanBnXkFtZTcwNjExNTgzNA@@._V1_SX300.jpg,"{'Source': 'Internet Movie Database', 'Value': '7.2/10'}",65,7.2,"217,482",tt0113189,movie,19 Oct 1999,N/A,MGM/UA,N/A,True
